GEOID,Probs
6111000100,35.50966383
6083001800,28.33974172
6037930301,13.40302774
6083002606,10.22421507
6083003102,9.846024215
6037920102,8.916803003
6037930200,7.824097283
6073021000,7.14734142
6073020903,6.968349507
6083002006,6.69842047
6083001901,6.473505507
6073021100,6.26017432
6111001206,6.184181676
6073018700,6.13393892
6111007300,6.040280101
6083002932,5.885248512
6037900102,5.468529792
6073021302,5.27222911
6083001906,5.153800682
6083001905,4.95482172
6037901209,4.69696679
6111005100,4.626004412
6037910811,4.536934994
6111001204,4.392391451
6059032041,4.354184973
6037800406,4.326932727
6111000200,3.92927587
6111000903,3.697591775
6083002809,3.577744834
6111000800,3.394625621
6111005600,3.316906787
6059032011,3.315180606
6037911001,3.309826793
6037930101,3.146441048
6059032023,3.085266622
6037920104,3.003141351
6083002502,2.946919672
6073020902,2.903991434
6111000302,2.767155353
6037920011,2.677454637
6111007614,2.676340218
6073020801,2.525010435
6037920326,2.419131135
6073019101,2.406509953
6059021924,2.380867538
6111000500,2.1151934
6037800410,1.996451569
6037900201,1.978556144
6111001001,1.953325009
6037800102,1.950933934
6037920303,1.76328147
6037910813,1.753010629
6111005305,1.694816493
6073016902,1.693882116
6037800326,1.654293304
6037910805,1.631639186
6073021202,1.624037528
6073020709,1.602600398
6037800506,1.602005743
6059062604,1.575530312
6111008500,1.55831589
6083001706,1.554874126
6111000902,1.549922891
6073020807,1.51106655
6037980019,1.496048771
6037800504,1.460623825
6111002905,1.448808787
6111000304,1.439578417
6073020904,1.383289576
6111000400,1.380843449
6037980003,1.369889999
6037920339,1.325622923
6073019001,1.309538298
6037920106,1.305137206
6059052426,1.294431911
6111007405,1.253702539
6059032056,1.215651353
6037800408,1.166610148
6111000303,1.157183428
6037900900,1.131684756
6037800202,1.094925614
6111004600,1.077214645
6037800330,1.049041025
6073021304,1.019968145
6111008402,1.010830941
6073019107,1.003048589
6111007511,0.971339463
6111004715,0.920498807
6037800329,0.899827216
6073021303,0.873609233
6083002907,0.859621421
6037910002,0.83995984
6037920012,0.837610693
6083000103,0.822950581
6059021815,0.816201292
6073019106,0.786878928
6111008305,0.784090608
6059062643,0.783926856
6059052420,0.776017866
6111002800,0.752227228
6111007613,0.740149093
6037910001,0.739115778
6073009504,0.679211953
6073020811,0.670507662
6111007506,0.621813438
6073020103,0.60361069
6037910804,0.602410512
6073019103,0.588600255
6083002808,0.584800653
6073020810,0.581118428
6083003007,0.572985555
6037920043,0.563754589
6111004704,0.559465183
6073016901,0.55640579
6073010015,0.539501177
6111007512,0.533157649
6111002500,0.525546095
6037900104,0.524796581
6073021204,0.519659281
6073017021,0.517309539
6111001700,0.515491068
6059021912,0.510783008
6111005906,0.506642128
6059062632,0.488084105
6073017110,0.464310204
6111001900,0.462629285
6083001500,0.462466125
6037400205,0.45956415
6111007402,0.45693775
6037920107,0.455760727
6037920200,0.454350484
6073018803,0.450457329
6037901213,0.444956591
6037910810,0.44301165
6083002306,0.430096551
6037920312,0.425492785
6073021206,0.425222421
6073017020,0.418677656
6037106603,0.414138519
6073019105,0.408931067
6037900300,0.404363004
6111006100,0.400228123
6111005202,0.399164969
6059052404,0.397288378
6111006301,0.396433859
6073015501,0.391583317
6111007507,0.391526872
6037910101,0.389039839
6083001903,0.388340147
6111007700,0.381907199
6059032044,0.377443222
6111007606,0.36817422
6073009400,0.366075964
6073018802,0.364156943
6073020710,0.362563328
6037670326,0.362182587
6073015502,0.358948364
6111007510,0.356222383
6037910206,0.355205573
6059042103,0.341451853
6073020809,0.341131461
6073017030,0.3410519
6073016802,0.335793819
6083000501,0.332410266
6111001002,0.330519366
6083000700,0.330184095
6059099502,0.327819796
6037430301,0.32675542
6037670602,0.32637705
6111000901,0.324600026
6037800203,0.322989303
6111005205,0.322243571
6037262400,0.317052498
6037980026,0.315491559
6037800328,0.313309913
6111006400,0.313184041
6037262301,0.312078437
6073019002,0.310249321
6059021923,0.310083967
6059032043,0.309263425
6037403325,0.305783524
6111005802,0.30439605
6037400404,0.30098883
6111007202,0.299057756
6037920116,0.29770065
6059032061,0.297315429
6037300701,0.289776465
6037910812,0.284700872
6037800101,0.283898964
6059062633,0.271670223
6111001800,0.268288098
6083002011,0.267308079
6111001201,0.265694625
6059062621,0.263692843
6111007514,0.260177797
6037262604,0.259631029
6111001102,0.255884449
6073017106,0.250635513
6037102107,0.248230109
6073019208,0.245292289
6059052422,0.245213731
6111006200,0.243890656
6073010014,0.240185823
6037920026,0.23896913
6037900103,0.238788219
6037901205,0.236857603
6111007509,0.236130467
6111004902,0.23194002
6037113211,0.231812389
6037670328,0.231155473
6073017029,0.230123974
6037400403,0.228186195
6037408703,0.227879407
6037310100,0.227062678
6059042315,0.22432227
6083001306,0.221060194
6059062702,0.221055987
6059032049,0.219056577
6083002402,0.215399571
6073020306,0.214791287
6073018611,0.214064094
6059062620,0.211508127
6111005911,0.211264997
6037920031,0.210903007
6037901210,0.210363761
6083002922,0.209881533
6037108202,0.20946609
6037261102,0.209408553
6037103200,0.209093798
6073017010,0.206156733
6059042203,0.205980776
6111007607,0.205641333
6111005002,0.205230751
6037910809,0.201567329
6037800204,0.201475527
6037262200,0.19969008
6059032058,0.199317043
6059042333,0.198778117
6111004305,0.197635379
6083002604,0.197515269
6037920032,0.196075742
6111002000,0.195269518
6059021822,0.195066787
6037920119,0.194593008
6111005004,0.193674416
6037980009,0.19085615
6059042325,0.190749494
6037403324,0.188445927
6059032046,0.187142037
6037261200,0.184797033
6111005801,0.184669011
6111002400,0.184019986
6037910205,0.181548664
6059032022,0.179043749
6037920020,0.178865795
6037104124,0.178671497
6037910808,0.177895377
6037139702,0.177726115
6037430003,0.174758584
6037106510,0.172161524
6073019207,0.171498307
6037262100,0.171384084
6111001402,0.169562962
6037300702,0.169010739
6059052427,0.165463819
6073020307,0.164155665
6059042323,0.163908285
6037980004,0.163844928
6037261101,0.162711239
6111002300,0.159412903
6037400501,0.159151308
6037670416,0.15759681
6111005901,0.155569322
6111007903,0.155499143
6037500100,0.155392279
6059042324,0.154702873
6059052428,0.154221581
6037106111,0.153516196
6059042312,0.152121743
6111007201,0.150666295
6037920042,0.150125426
6059042112,0.149906792
6059042332,0.149884611
6073013410,0.149039737
6037920338,0.148055537
6059052423,0.146573191
6059042205,0.14611812
6037980020,0.145013406
6059021827,0.143987452
6037501600,0.142632007
6073013314,0.141670141
6073009901,0.141269038
6037670500,0.141216464
6111001301,0.141041359
6037139802,0.141002561
6037910706,0.140477484
6111005700,0.138755024
6111001302,0.137938484
6111002600,0.137786768
6073008312,0.1360288
6073020805,0.135514559
6059032053,0.135358288
6037460501,0.135165586
6111005303,0.133939521
6037920314,0.133182121
6059042111,0.132529198
6059032057,0.132092822
6037103300,0.131392181
6111005910,0.131321024
6037920330,0.131285146
6073020806,0.13031613
6059099415,0.130192543
6111005907,0.129486011
6073020706,0.129366268
6073009505,0.129311806
6037980023,0.129085888
6037106112,0.129002582
6037121102,0.128625131
6059062619,0.127788284
6037670324,0.127154488
6037113237,0.126770645
6059062649,0.126650437
6111006000,0.126418465
6037980021,0.125124489
6059062645,0.124761871
6059042319,0.124721488
6083002211,0.12447176
6111002200,0.124222754
6037262601,0.123884787
6073020027,0.123443071
6037460700,0.12264663
6059062634,0.122626294
6059042320,0.121490025
6059042311,0.121134701
6059042201,0.120828858
6037800327,0.120589894
6111002901,0.120455799
6073013313,0.11973005
6083002013,0.119665216
6059062622,0.119438501
6111001202,0.118439771
6037920118,0.118133171
6111001101,0.11787764
6037400204,0.117397851
6059042328,0.116877154
6037910709,0.116490128
6111005204,0.115826759
6037500202,0.114773192
6083002928,0.114461269
6111007406,0.114342317
6111005003,0.113831638
6059062610,0.113778568
6037920114,0.113031779
6111008304,0.112830084
6037300901,0.112023739
6059032045,0.112004001
6037920108,0.111644423
6059032039,0.111593738
6073021205,0.110850857
6111001506,0.110648126
6083002915,0.110256629
6037920334,0.110243073
6037101400,0.109685252
6111006600,0.108682917
6059032013,0.108483395
6059075604,0.108219464
6037401304,0.107045762
6037104204,0.106807904
6037460100,0.106770694
6037300301,0.106632661
6059032042,0.106577005
6037500201,0.106012744
6037460401,0.105910464
6059052425,0.104831795
6059032059,0.104622584
6083980000,0.104049131
6111006800,0.103918267
6111001502,0.103878457
6037143901,0.10362073
6059042327,0.101762672
6083002005,0.101434621
6059032015,0.100898185
6037106010,0.100528585
6059099308,0.100185271
6037403321,0.09988388
6059021825,0.099487595
6037262802,0.099376788
6037400603,0.099294806
6037300800,0.099277937
6059042337,0.099196254
6059042307,0.098961217
6037108201,0.098854056
6111007100,0.097303418
6037920328,0.096127784
6037670702,0.095441315
6111003609,0.094627024
6037400207,0.094503442
6037408503,0.094451389
6037460301,0.094275096
6059021828,0.09388957
6059032012,0.093872137
6111006900,0.093015058
6059042317,0.092981419
6073017049,0.092925662
6059021920,0.092796184
6059032038,0.092712796
6037278102,0.092511505
6037800332,0.092252169
6073020304,0.091868545
6111008401,0.091644855
6059099603,0.091466095
6037920034,0.091272205
6111005304,0.090732622
6073020401,0.090165864
6083002930,0.090082585
6059032003,0.089949782
6059062644,0.088811689
6037920313,0.088770703
6059032037,0.088078656
6059062641,0.087820919
6059042329,0.087240873
6059032002,0.087188463
6059021917,0.086958418
6037920015,0.086421749
6059042109,0.086116998
6037700600,0.08611674
6073018801,0.086062685
6059042305,0.085866989
6083001704,0.085084677
6037300100,0.084881207
6059032028,0.084564112
6111005203,0.084120638
6037135203,0.084086004
6037920115,0.083859383
6037460800,0.083614519
6037139703,0.083420485
6111001503,0.082991658
6059062614,0.082750391
6059052418,0.082505194
6037106643,0.081726295
6059052410,0.081720197
6037460600,0.081542747
6083001402,0.081287557
6037670413,0.080395635
6037980024,0.080189832
6037106020,0.079935543
6111007612,0.07944611
6111002102,0.079286604
6037262706,0.0791515
6059042336,0.079092503
6111005306,0.078857984
6073019806,0.078604592
6073021600,0.078596449
6059052518,0.078586191
6059042331,0.07792956
6111006700,0.077327121
6037401303,0.076787515
6111007513,0.076644475
6111000600,0.076506341
6059075605,0.075470395
6059052408,0.075395434
6037320100,0.075185171
6073008339,0.074125086
6059062630,0.073924447
6037137504,0.073764693
6059032030,0.073747449
6111001507,0.073630216
6059063603,0.073580888
6037113231,0.073442328
6059032032,0.072580931
6083001304,0.072210272
6037400402,0.072139158
6059062647,0.072053777
6083000804,0.071884357
6111008201,0.071300968
6059021921,0.071126223
6111007610,0.071027735
6037300902,0.070656598
6059032027,0.07056437
6111007403,0.070546291
6059052517,0.070031576
6059052411,0.069914203
6059032014,0.069836985
6059062639,0.069795693
6111002700,0.069652761
6073022100,0.069329649
6059075515,0.069306849
6037910807,0.069107603
6111007508,0.068739455
6059042335,0.068496777
6037141600,0.068478203
6037138000,0.068045574
6059032020,0.067895804
6059032036,0.067893875
6037980022,0.067444458
6111004400,0.067304449
6037800324,0.066937058
6037181000,0.066787221
6037800325,0.066252807
6059062648,0.065897058
6037262302,0.065553039
6111007611,0.06527836
6037106406,0.06432778
6037400604,0.064308215
6059062637,0.064062727
6037320202,0.063895064
6059042326,0.063777274
6037262704,0.063759428
6111004716,0.063102023
6111006302,0.062944439
6111007505,0.062642176
6037920109,0.062207204
6111006500,0.062167665
6037134424,0.062090924
6073016612,0.062003538
6037460000,0.061791022
6073010109,0.061681672
6037108102,0.061109784
6059052424,0.061025822
6037460200,0.061005774
6037402404,0.060877077
6111007000,0.060744269
6037920332,0.060703087
6083002802,0.060364921
6073015406,0.060207912
6037141700,0.060200105
6037920329,0.059160744
6083002906,0.059131668
6037194102,0.059065796
6059062625,0.058948271
6037408211,0.058920802
6037404600,0.058882548
6059032029,0.058694783
6059052415,0.058645231
6073010200,0.058182897
6037106113,0.05808829
6059062640,0.058063159
6037297500,0.05757306
6111000701,0.057532581
6037403304,0.057128072
6037701304,0.057113555
6037920033,0.056943436
6059021814,0.056826869
6037408627,0.056726355
6059075606,0.056560257
6059021826,0.056473754
6073018903,0.056263504
6037297400,0.056209211
6037143700,0.056056517
6037141500,0.055915481
6059042330,0.055222175
6037262303,0.055118332
6059042113,0.054740852
6037189701,0.054649064
6037403318,0.054612417
6059032050,0.054579977
6073008324,0.054350564
6111001602,0.054217665
6037920013,0.054200008
6059042334,0.054050976
6037403320,0.053957282
6111001401,0.053878887
6083000101,0.053852521
6059042338,0.053474607
6037108103,0.053365386
6037408402,0.053162541
6073021500,0.052992107
6083000600,0.05284571
6037262501,0.052679734
6037403312,0.05265545
6059052416,0.052599424
6059063004,0.052349972
6059062638,0.052122226
6059032031,0.052086149
6037101122,0.051955872
6037300600,0.05175819
6059062605,0.051729142
6059063007,0.051408581
6037500300,0.051226986
6083003001,0.051219809
6037910202,0.051146534
6059062646,0.051112865
6037701100,0.051059377
6037113235,0.050814628
6037980031,0.050784038
6073017019,0.050585328
6111008302,0.050125274
6037670201,0.049983715
6037980033,0.049844577
6059021905,0.049772993
6037403500,0.049201505
6111007901,0.048947687
6059032034,0.048867494
6111007800,0.048862809
6059063400,0.048469019
6037403405,0.048447028
6037400206,0.048331071
6111005908,0.048144226
6059001506,0.047991833
6037143902,0.047989216
6037402402,0.047722589
6059062636,0.047450861
6083002007,0.047102603
6059021918,0.045557899
6059099417,0.045448402
6059021922,0.045368377
6037101300,0.044969347
6037401800,0.044877777
6073016809,0.044735556
6037194200,0.044695599
6111007904,0.044693306
6111003605,0.04451972
6073009805,0.044464833
6111001601,0.044386092
6037408626,0.044362101
6073015405,0.044274769
6037408628,0.044016389
6111008306,0.04400725
6073020013,0.043972181
6037103400,0.043641978
6037403322,0.043551729
6059062635,0.043539104
6037104201,0.043454919
6083001601,0.043350937
6111005502,0.043320526
6073008333,0.043017321
6037460502,0.042869807
6037194101,0.042855064
6073016402,0.042705037
6037103101,0.042692096
6037403317,0.042472681
6059099514,0.042228874
6073013506,0.042133589
6059001601,0.041941163
6083002012,0.041507744
6059042106,0.041505004
6111005404,0.041058782
6073015602,0.041021859
6037106114,0.040962634
6073008350,0.040941483
6037104310,0.04087591
6037408625,0.040850564
6037403600,0.040703284
6083002909,0.040134211
6059063500,0.040080666
6059032040,0.040057122
6059063010,0.039876517
6037670701,0.039444313
6073016609,0.039177316
6073018601,0.039081536
6037300400,0.038976883
6037194300,0.038771269
6037430200,0.038384205
6111005401,0.038130959
6037264000,0.037888631
6037139801,0.037668479
6059001706,0.037567533
6037700700,0.037473486
6037104103,0.037192511
6037300200,0.03714267
6073017032,0.037081413
6059042310,0.03702808
6059032048,0.037026151
6083003005,0.036979316
6037920040,0.036973852
6059062642,0.036761441
6073013604,0.036743317
6083002924,0.036627545
6073020708,0.036398459
6073017033,0.036278076
6059021919,0.036184469
6111005503,0.036172204
6059001707,0.03589696
6037403316,0.035832635
6037402200,0.035758001
6111008002,0.035688079
6073016807,0.03561179
6037910401,0.035607873
6037143800,0.035559826
6059062800,0.035524735
6037461100,0.035492549
6111007609,0.035488918
6111005504,0.035208026
6073020020,0.035141881
6037137302,0.03513318
6059032035,0.034948177
6059062628,0.034823327
6037670405,0.034779167
6037670411,0.034656041
6037461000,0.034584604
6059063008,0.034458475
6037139701,0.034388305
6073019903,0.03433844
6037297300,0.034200122
6083000502,0.034172029
6111008101,0.034165927
6059062612,0.034096782
6083000102,0.033866682
6037461200,0.033693192
6037800331,0.033666374
6083002008,0.033601558
6111005909,0.033450611
6037670202,0.033442824
6059021916,0.033440032
6059110015,0.033400676
6037980015,0.033383283
6073017015,0.033343667
6073016804,0.033271292
6037400800,0.033235412
6037670403,0.033234191
6111008202,0.033096774
6083000200,0.033072197
6037403323,0.033064239
6059032054,0.032709967
6037139301,0.032685248
6037106645,0.032677148
6059052525,0.032649648
6037403305,0.032582923
6037433802,0.032512369
6059062631,0.032476552
6037106403,0.032433563
6037408629,0.032425717
6059099506,0.032367333
6037406300,0.032364387
6037901004,0.032226166
6037900504,0.032057626
6037300502,0.032028396
6037320300,0.031754232
6037910201,0.031727409
6059052421,0.031668751
6037702901,0.031611273
6111000702,0.031308911
6037920016,0.031196368
6073017501,0.030988445
6059021830,0.030983493
6037137104,0.030478924
6073008328,0.030445643
6037501501,0.030398384
6059021813,0.030103689
6083002009,0.030054318
6037403403,0.030010556
6059021915,0.029995577
6083002010,0.029988639
6059075809,0.02996088
6083002926,0.029956416
6037403303,0.029927731
6037137501,0.029885142
6037137402,0.029818555
6059001704,0.029686835
6059011000,0.029683237
6037320201,0.029635011
6037300501,0.029627578
6037106642,0.029616966
6037137000,0.029446282
6037408722,0.02940274
6059042114,0.029399115
6037980007,0.029225176
6083002703,0.02908256
6059099906,0.029061901
6073008366,0.02901983
6037113213,0.028978313
6083002210,0.028693022
6037430501,0.028559645
6037403000,0.028516059
6111003612,0.028455845
6037401311,0.028330229
6059042206,0.028290389
6037104203,0.028065515
6037402403,0.027920655
6037408202,0.027834486
6037651302,0.027795103
6073009507,0.027740836
6059042313,0.027713433
6083002913,0.027703921
6059011602,0.027562246
6037577603,0.027446855
6037297000,0.027399457
6073017601,0.027310283
6059032047,0.027263497
6037670406,0.027206234
6037403200,0.027122738
6037920030,0.027118042
6037139402,0.027114972
6037134905,0.027014481
6059021816,0.026956206
6059099513,0.026950328
6073008346,0.02682413
6073008327,0.026794078
6037408212,0.026770685
6059001503,0.02647514
6037670407,0.026424943
6059032055,0.026410419
6059011714,0.026224716
6083001203,0.026214554
6037980028,0.026202288
6037106604,0.026098544
6037621104,0.025910648
6073016811,0.025673913
6059021913,0.025603769
6073017109,0.025577171
6073020014,0.025547974
6037139600,0.025459742
6059001602,0.025457137
6111008004,0.025406173
6037265100,0.025399279
6059099504,0.025144886
6083001208,0.025134346
6037408705,0.025105882
6037137502,0.02507105
6037920331,0.025030787
6037460302,0.024937603
6059021829,0.024873874
6037137401,0.024826456
6073017306,0.024701993
6059001708,0.024509896
6037920322,0.024418866
6059052524,0.024340616
6059021914,0.024276217
6037403407,0.024201935
6073017053,0.023983719
6059001501,0.023934397
6083003004,0.023923384
6059052514,0.023901373
6083000900,0.023691613
6073017200,0.023677758
6037920035,0.023619157
6037189300,0.023586458
6037310900,0.023459652
6073018906,0.023343421
6037189702,0.023290357
6073010601,0.023228888
6037920028,0.022991798
6073016605,0.022958031
6073018612,0.022865818
6059001505,0.022853516
6083000400,0.022826504
6059062611,0.022740925
6073017054,0.022689508
6083002806,0.022633902
6083002914,0.022597437
6037920336,0.022596841
6073016607,0.022579173
6037651101,0.022570165
6059052419,0.022493262
6059099408,0.022473581
6073019303,0.022453157
6073017009,0.022439994
6073018608,0.022330569
6037265301,0.022293198
6073008335,0.022269464
6037408005,0.022260111
6059052527,0.022238456
6059099240,0.022233295
6037920337,0.022176558
6059110604,0.022142192
6037980030,0.022091313
6073007600,0.022086747
6037106520,0.022055388
6059099407,0.021989442
6073018513,0.02195068
6059099220,0.021925617
6111004717,0.0219055
6059021824,0.021891479
6037104108,0.021838589
6083002708,0.021825729
6083001604,0.021795769
6037920041,0.021793221
6037106641,0.021771371
6059075607,0.021740079
6059001504,0.021716821
6037401001,0.021657663
6059021802,0.021615036
6037430400,0.021563246
6037103102,0.021510341
6037400900,0.021390778
6037109100,0.021270112
6073020022,0.021231133
6073017042,0.021216624
6037574400,0.021197618
6059021903,0.021189095
6059076204,0.021162153
6037401202,0.021118767
6073017808,0.02097912
6059110500,0.020856338
6037295103,0.020819659
6073017305,0.020787593
6111003100,0.020722758
6037920029,0.02062676
6037463800,0.020546101
6059063302,0.020538508
6059099508,0.020528769
6073020705,0.02051687
6037400304,0.020412802
6059032051,0.020387466
6111009100,0.020381865
6059001507,0.020303159
6059063009,0.020277467
6037401002,0.020276227
6037134422,0.020202828
6073013606,0.020202652
6037401500,0.020179871
6037141400,0.020117636
6037408624,0.020059549
6037137201,0.020003771
6037101110,0.019905467
6037910707,0.019889836
6037401902,0.019878345
6059021807,0.019870607
6037503602,0.019717555
6083001206,0.019698168
6037910302,0.019664146
6073019602,0.019627546
6111008303,0.019626767
6037430002,0.019561767
6037621004,0.019537353
6073013310,0.019481562
6037503902,0.019470682
6059062629,0.019384971
6059021823,0.019380801
6037301400,0.019344741
6059021812,0.019340207
6059062900,0.019302419
6037104320,0.019256823
6073018603,0.019209806
6111004901,0.019135164
6037430600,0.019069069
6073017404,0.01897952
6073020405,0.01893366
6037310201,0.018904018
6037980018,0.018892366
6073009902,0.0188887
6059075703,0.018857685
6037401312,0.018701471
6037108101,0.018661108
6037134421,0.01865726
6083002702,0.018654659
6059063907,0.01857545
6059099229,0.018543683
6059042108,0.018521088
6059063803,0.018513717
6073017039,0.018490713
6037901101,0.018469914
6037401101,0.018448634
6037113232,0.018393187
6037543305,0.018392301
6037311700,0.018380166
6073009704,0.01833224
6059062701,0.018272033
6037310300,0.018216284
